Longitude,Latitude,Name
-74.592205,39.331036,"Wawa 0461 (24, Gas)"
-74.732833,39.176789,"Wawa 0465 (24, Gas)"
-75.0567556,39.9131798,Wawa 0468 (24)
-74.82114,39.190536,Wawa 0470 (24)
-74.6439351,39.5265002,Wawa 0473 (24)
-74.5113148,40.3751273,Wawa 0476 (24)
-75.076218,39.900723,Wawa 0477 (24)
-75.183434,39.847058,"Wawa 0480 (24, Gas)"
-74.457597,39.492228,Wawa 0482 (24)
-74.3687763,39.4043466,Wawa 0485 (24)
-75.052853,39.5719369,"Wawa 0486 (24, Gas)"
-74.750929,39.448561,Wawa 0488 (24)
-74.82567,39.077839,Wawa 0492 (24)
-74.95798,39.837345,Wawa 0494 (24)
-74.796461,39.652159,Wawa 0495 (24)
-74.341071,39.603172,Wawa 0497 (24)
-75.075988,39.751392,Wawa 0499 (24)
-75.79029,39.653482,"Wawa 0547 (24, Gas, Diesel)"
-76.532486,38.99482,Wawa 0549 (24)
-76.357757,39.522312,"Wawa 0553 (24, Gas, Diesel)"
-77.438204,39.392203,"Wawa 0554 (24, Gas, Diesel)"
-75.600362,38.358121,"Wawa 0555 (24, Gas, Diesel)"
-75.119087,38.33847,"Wawa 0556 (24, Gas, Diesel)"
-76.31385,39.546189,"Wawa 0557 (24, Gas)"
-76.481782,39.336081,"Wawa 0558 (24, Gas, Diesel)"
-76.268146,39.636949,"Wawa 0559 (24, Gas, Diesel)"
-75.565854,38.420549,"Wawa 0561 (24, Gas, Diesel)"
-76.720151,38.888998,"Wawa 0562 (24, Gas, Diesel)"
-76.065792,38.561712,"Wawa 0563 (24, Gas, Diesel)"
-76.919539,38.629876,"Wawa 0565 (24, Gas, Diesel)"
-75.056448,38.426261,"Wawa 0566 (24, Gas)"
-76.160642,39.513187,"Wawa 0567 (24, Gas)"
-76.937167,38.595516,"Wawa 0568 (24, Gas, Diesel)"
-76.456246,39.02712,"Wawa 0569 (24, Gas, Diesel)"
-76.631651,39.110768,"Wawa 0572 (24, Gas, Diesel)"
-76.661812,38.713619,"Wawa 0573 (24, Gas, Diesel)"
-76.567723,38.935861,"Wawa 0577 (24, Gas, Diesel)"
-76.470213,39.26856,"Wawa 0578 (24, Gas)"
-76.875772,38.66449,"Wawa 0580 (24, Gas, Diesel)"
-76.310952,39.465055,"Wawa 0581 (24, Gas, Diesel)"
-76.278232,39.555784,"Wawa 0582 (24, Gas)"
-76.716094,38.426797,"Wawa 0583 (24, Gas, Diesel)"
-76.986124,38.548753,"Wawa 0584 (24, Gas, Diesel)"
-75.930513,39.612904,"Wawa 0585 (24, Gas, Diesel)"
-76.353354,39.568509,"Wawa 0586 (24, Gas, Diesel)"
-76.411681,38.22915,"Wawa 0587 (24, Gas, Diesel)"
-76.774079,38.501472,"Wawa 0588 (24, Gas, Diesel)"
-76.060947,38.771755,"Wawa 0589 (24, Gas, Diesel)"
-76.966829,39.561292,"Wawa 0590 (24, Gas, Diesel)"
-76.598648,38.557227,"Wawa 0591 (24, Gas, Diesel)"
-76.519428,38.302993,"Wawa 0592 (24, Gas, Diesel)"
-76.917254,39.027437,"Wawa 0593 (24, Gas, Diesel)"
-76.656501,39.056687,"Wawa 0595 (24, Gas, Diesel)"
-76.850723,38.870048,"Wawa 0597 (24, Gas)"
-76.758937,39.333093,"Wawa 0598 (24, Gas)"
-76.345741,39.439908,"Wawa 0599 (24, Gas, Diesel)"
-77.622453,38.792561,"Wawa 0651 (24, Gas)"
-76.523697,37.34456,"Wawa 0652 (24, Gas)"
-77.494438,38.264457,"Wawa 0653 (24, Gas)"
-76.235893,36.79093,"Wawa 0654 (24, Gas)"
-77.454198,37.604586,"Wawa 0655 (24, Gas)"
-76.546437,37.136757,"Wawa 0656 (24, Gas)"
-77.6650231,37.4048477,"Wawa 0657 (24, Gas)"
-77.44773,38.27138,"Wawa 0658 (24, Gas)"
-77.60092,37.5057,"Wawa 0659 (24, Gas)"
-77.5134059,38.2972981,"Wawa 0660 (24, Gas)"
-77.30028,38.65889,"Wawa 0661 (24, Gas)"
-77.27611,38.63306,"Wawa 0662 (24, Gas)"
-77.515,38.24722,"Wawa 0663 (24, Gas)"
-77.5381463,38.2895739,"Wawa 0664 (24, Gas)"
-77.4035364,38.4494934,"Wawa 0665 (24, Gas)"
-77.4999865,38.2958595,"Wawa 0667 (24, Gas)"
-77.5102048,38.3552881,"Wawa 0668 (24, Gas)"
-77.0768373,38.3396459,"Wawa 0669 (24, Gas)"
-77.49772,37.36421,"Wawa 0670 (24, Gas)"
-76.09556,36.83361,"Wawa 0671 (24, Gas)"
-77.5350652,37.5002095,"Wawa 0672 (24, Gas)"
-77.4894234,37.4351513,"Wawa 0673 (24, Gas)"
-77.61056,37.43444,"Wawa 0674 (24, Gas)"
-76.1362045,36.9048309,"Wawa 0675 (24, Gas)"
-77.3451336,37.3471224,"Wawa 0676 (24, Gas)"
-77.4609461,37.6428662,"Wawa 0677 (24, Gas)"
-76.0562546,36.8407938,"Wawa 0678 (24, Gas)"
-76.1023253,36.7955141,"Wawa 0679 (24, Gas)"
-77.29056,38.60917,"Wawa 0680 (24, Gas)"
-76.7115554,37.2732366,Wawa 0681 (24)
-77.509054,37.6351848,"Wawa 0682 (24, Gas)"
-77.3703822,37.1891414,"Wawa 0683 (24, Gas)"
-77.4093054,37.3059669,"Wawa 0684 (24, Gas)"
-76.460015,37.0808019,"Wawa 0685 (24, Gas)"
-76.46528,37.16528,"Wawa 0687 (24, Gas)"
-77.4506561,38.3161648,"Wawa 0688 (24, Gas)"
-77.4362746,38.4733348,"Wawa 0689 (24, Gas)"
-76.126095,36.8225048,"Wawa 0690 (24, Gas)"
-77.49328,38.2495563,"Wawa 0691 (24, Gas)"
-77.4168539,37.3675377,"Wawa 0692 (24, Gas)"
-77.4102828,37.244336,"Wawa 0693 (24, Gas)"
-76.07462,36.8443,"Wawa 0694 (24, Gas)"
-76.41611,36.86583,"Wawa 0695 (24, Gas)"
-77.6507074,37.663638,"Wawa 0696 (24, Gas)"
-77.411665,38.4675213,"Wawa 0697 (24, Gas)"
-77.317196,37.271065,"Wawa 0698 (24, Gas)"
-76.6762001,37.2662641,"Wawa 0699 (24, Gas)"
-74.17722,39.64944,Wawa 0700 (24)
-74.565231,39.362755,Wawa 0701 (24)
-74.60278,39.32028,Wawa 0702 (24)
-75.0416139,39.3952163,Wawa 0710 (24)
-74.39687,39.39442,Wawa 0713 (24)
-74.8811451,39.6032273,Wawa 0714 (24)
-74.93875,39.94105,Wawa 0718 (24)
-75.51496,39.66021,Wawa 0719 (24)
-75.0175025,39.3940892,"Wawa 0720 (24, Gas, Diesel)"
-74.9888541,39.6859745,"Wawa 0721 (24, Gas)"
-74.92197,39.8952,Wawa 0722 (24)
-75.01739,39.81209,Wawa 0723 (24)
-74.9514258,39.9615673,Wawa 0725 (24)
-74.5825058,39.2755606,Wawa 0728 (24)
-74.829088,38.987276,"Wawa 0729 (24, Gas)"
-75.0653344,39.8905713,Wawa 0730
-74.99732,39.91176,Wawa 0732 (24)
-74.1080056,40.0381048,Wawa 0733 (24)
-74.5496047,40.2609166,Wawa 0735 (24)
-74.508984,39.432288,Wawa 0736 (24)
-74.660376,40.343018,Wawa 0739 (24)
-75.0028652,39.9571669,Wawa 0740 (24)
-74.2045854,40.1053984,Wawa 0743 (24)
-74.291044,39.7268825,Wawa 0744 (24)
-74.5827596,39.9697264,Wawa 0745 (24)
-74.2584529,40.1336503,Wawa 0746 (24)
