longitude,latitude,type,address,city,state,zip
-77.8097,35.9814,Sheetz,1690 Benvenue Road, Rocky Mount,NC,27804
-77.7683,36.0222,Sheetz,3715 North Wesleyan Blvd, Rocky Mount,NC,27804
-78.9769,36.4081,Sheetz,925 North Madison Blvd, Roxboro,NC,27573
-80.4753,35.6417,Sheetz,1520 Jake Alexander Boulevard South, Salisbury,NC,28146
-78.3269,35.5053,Sheetz,1700 East Market St, Smithfield,NC,27577
-80.9058,35.8028,Sheetz,1244 Wilkesboro Hwy, Statesville,NC,28625
-80.8536334,35.768428,Sheetz,1532 Salisbury Highway, Statesville,NC,28677
-80.05784,35.9178,Sheetz,1340 National Hwy, Thomasville,NC,27360
-80.0722,35.855,Sheetz,1810 Liberty Dr, Thomasville,NC,27360
-80.0367,35.8683,Sheetz,5905 Finch Farm Rd, Trinity,NC,27370
-80.8539,35.67,Sheetz,1023 Charlotte Highway, Troutman,NC,28166
-78.5094,35.9503,Sheetz,1895 S Franklin St, Wake Forest,NC,27587
-80.1369,36.1644,Sheetz,5198 Reidsville Rd, Walkertown,NC,27051
-77.0761,35.565,Sheetz,1695 W 5th Street, Washington,NC,27889
-78.4203,35.8039,Sheetz,505 Wendell Blvd, Wendell,NC,27591
-77.9514,35.7081,Sheetz,2835 Forest Hills Rd Sw, Wilson,NC,27893
-80.29143,36.14257,Sheetz,2985 Fairlawn Dr, Winston Salem,NC,27106
-80.2778783,36.1885058,Sheetz,5034 Raven Rd, Winston Salem,NC,27105
-80.3697,36.0936,Sheetz,5230 Beauchamp Lane, Winston Salem,NC,27104
-80.1603,36.0261,Sheetz,5519 Gumtree Road, Winston Salem,NC,27107
-80.2675,35.995,Sheetz,12290 N Nc Highway 150, Winston Salem,NC,27127
-80.3275,36.0489,Sheetz,2505 Somerset Center Dr, Winston Salem,NC,27103
-77.405,35.5522,Sheetz,650 Whitley Dr, Winterville,NC,28590
-80.6594,36.1203,Sheetz,805 South State St, Yadkinville,NC,27055
-78.5081,36.0256,Sheetz,564 Us 1 Hwy, Youngsville,NC,27596
-78.3247,35.8392,Sheetz,1406 N Arendell Ave, Zebulon,NC,27597
-81.4642,40.9747,Sheetz,1651 E Turkeyfoot Lake Rd, Akron,OH,44312
-81.5281,41.0278,Sheetz,20 W Waterloo Rd, Akron,OH,44319
-81.1089,40.9014,Sheetz,236 W State St, Alliance,OH,44601
-80.7642,41.8758,Sheetz,2411 N Ridge Rd E, Ashtabula,OH,44004
-80.76796,41.12706,Sheetz,1101 North Canfield Niles Road, Austintown,OH,44515
-80.7633,41.0992,Sheetz,5499 Mahoning Ave, Austintown,OH,44515
-81.7589,41.4231,Sheetz,10315 Cascade Crossing, Brooklyn,OH,44144
-81.7854313,41.238435,Sheetz,2771 Center Rd, Brunswick,OH,44212
-81.5756,40.0039,Sheetz,2101 Southgate Pkwy, Cambridge,OH,43725
-80.7364,41.0244,Sheetz,4585 Boardman Canfield Rd, Canfield,OH,44406
-81.425,40.8322,Sheetz,2939 Whipple Ave Nw, Canton,OH,44708
-81.4456,40.7928,Sheetz,5057 Tuscarawas St W, Canton,OH,44708
-81.2106,41.5808,Sheetz,435 Water Street, Chardon,OH,44024
-81.4847,41.1194,Sheetz,1210 Main St, Cuyahoga Falls,OH,44221
-80.5756,40.6731,Sheetz,15744 Saint Clair Ave, East Liverpool,OH,43920
-80.7214,41.1431,Sheetz,2721 Salt Springs Rd, Girard,OH,44420
-81.3481,40.9689,Sheetz,1280 W Maple St, Hartville,OH,44632
-81.3306,41.1542,Sheetz,1762 E Main St, Kent,OH,44240
-81.36,41.1589,Sheetz,600 North Mantua St, Kent,OH,44240
-81.3619,41.705,Sheetz,7766 Lake Shore Blvd, Mentor,OH,44060
